Matrix Size,l=8,l=16,l=32,l=64,l=128
4,4.474322001139323e-05,3.735224405924479e-05,3.719329833984375e-05,4.172325134277344e-05,4.283587137858073e-05
8,0.00028069814046223957,0.0002640088399251302,0.0002521673838297526,0.0002773602803548177,0.0002525647481282552
16,0.0021756490071614585,0.001913309097290039,0.0021463235219319663,0.003094832102457682,0.002420504887898763
32,0.016230265299479168,0.016629775365193684,0.01855921745300293,0.018819808959960938,0.019194920857747395
64,0.14032483100891113,0.13540244102478027,0.1541759967803955,0.14693109194437662,0.14776341120402017
128,1.1566580931345622,1.1573526859283447,1.1855697631835938,1.356845458348592,1.205736796061198
256,9.259831508000692,9.377591609954834,9.620011329650879,10.57090981801351,9.623016198476156
